CRASH_DAY_NUM,CRASH_DAY,CRASH_HOUR,CRASH_YEAR,FATAL,NONE,NONINCAPACITATING_INJURY,NO_INDICATION_OF_INJURY,REFUSED_EMS,REPORTED_NOT_EVIDENT,INCAPACITATING_INJURY
0,Sun,0,2022,1,0,62,626,0,24,13
0,Sun,0,2021,4,0,125,1170,0,51,16
0,Sun,0,2020,0,0,94,1091,0,32,20
0,Sun,0,2019,1,0,93,1233,0,54,15
0,Sun,0,2018,0,0,93,1277,0,46,23
0,Sun,1,2022,1,0,43,612,0,23,9
0,Sun,1,2021,4,0,93,1175,0,38,22
0,Sun,1,2020,1,0,76,934,0,21,18
0,Sun,1,2019,3,0,95,1202,0,33,26
0,Sun,1,2018,4,0,82,1219,0,42,15
0,Sun,2,2022,1,0,62,631,0,21,14
0,Sun,2,2021,2,0,115,942,0,38,37
0,Sun,2,2020,3,0,88,721,0,19,15
0,Sun,2,2019,0,0,77,1034,0,48,16
0,Sun,2,2018,3,0,69,928,0,24,15
0,Sun,3,2022,1,0,59,523,0,31,7
0,Sun,3,2021,3,0,83,871,0,27,29
0,Sun,3,2020,3,0,83,626,0,21,22
0,Sun,3,2019,4,0,77,947,0,45,15
0,Sun,3,2018,3,0,90,939,0,27,19
0,Sun,4,2022,1,0,34,352,0,9,9
0,Sun,4,2021,2,0,63,540,0,27,18
0,Sun,4,2020,6,0,58,496,0,14,18
0,Sun,4,2019,2,0,58,688,0,23,17
0,Sun,4,2018,3,0,55,684,0,19,19
0,Sun,5,2022,1,0,29,240,0,16,8
0,Sun,5,2021,0,0,33,420,0,13,14
0,Sun,5,2020,1,0,28,308,0,40,8
0,Sun,5,2019,1,0,56,538,0,21,20
0,Sun,5,2018,1,0,50,589,0,9,9
0,Sun,6,2022,1,0,15,185,0,5,5
0,Sun,6,2021,0,0,38,367,0,19,1
0,Sun,6,2020,0,0,22,310,0,7,6
0,Sun,6,2019,0,0,44,430,0,26,9
0,Sun,6,2018,0,0,33,447,0,15,8
0,Sun,7,2022,0,0,8,188,0,5,0
0,Sun,7,2021,0,0,38,408,0,18,6
0,Sun,7,2020,0,0,28,307,0,17,7
0,Sun,7,2019,0,0,50,409,0,17,5
0,Sun,7,2018,1,0,34,418,0,12,17
0,Sun,8,2022,0,0,24,298,0,18,2
0,Sun,8,2021,0,0,41,499,0,16,5
0,Sun,8,2020,0,0,32,411,0,15,9
0,Sun,8,2019,0,0,32,599,0,14,10
0,Sun,8,2018,1,0,39,475,0,7,7
0,Sun,9,2022,0,0,19,389,0,12,2
0,Sun,9,2021,1,0,37,830,0,18,4
0,Sun,9,2020,0,0,35,564,0,13,5
0,Sun,9,2019,0,0,57,821,0,21,7
0,Sun,9,2018,0,0,56,917,0,17,10
0,Sun,10,2022,0,0,36,567,0,17,2
0,Sun,10,2021,2,0,62,1145,0,46,7
0,Sun,10,2020,0,0,57,835,0,16,15
0,Sun,10,2019,0,0,54,1199,0,23,7
0,Sun,10,2018,2,0,56,1172,0,24,12
0,Sun,11,2022,0,0,41,657,0,24,6
0,Sun,11,2021,2,0,76,1316,0,28,14
0,Sun,11,2020,0,0,55,1098,0,35,14
0,Sun,11,2019,0,0,68,1577,0,37,12
0,Sun,11,2018,0,0,71,1574,0,39,15
0,Sun,12,2022,0,0,42,902,0,26,5
0,Sun,12,2021,3,0,86,1523,0,49,28
0,Sun,12,2020,0,0,72,1286,0,46,15
0,Sun,12,2019,1,0,84,1700,0,35,20
0,Sun,12,2018,0,0,85,1836,0,66,13
0,Sun,13,2022,0,0,41,950,0,13,8
0,Sun,13,2021,0,0,85,1793,0,42,22
0,Sun,13,2020,0,0,87,1416,0,55,11
0,Sun,13,2019,0,0,98,2081,0,65,15
0,Sun,13,2018,1,0,104,2040,0,57,13
0,Sun,14,2022,1,0,50,1100,0,37,12
0,Sun,14,2021,1,0,129,1959,0,52,31
0,Sun,14,2020,1,0,78,1608,0,56,6
0,Sun,14,2019,1,0,144,2128,0,64,19
0,Sun,14,2018,0,0,97,2087,0,43,18
0,Sun,15,2022,1,0,49,934,0,30,9
0,Sun,15,2021,0,0,99,1887,0,71,15
0,Sun,15,2020,1,0,81,1427,0,51,16
0,Sun,15,2019,0,0,82,2118,0,51,14
0,Sun,15,2018,1,0,115,2135,0,49,21
0,Sun,16,2022,0,0,51,831,0,24,6
0,Sun,16,2021,0,0,96,1847,0,35,18
0,Sun,16,2020,1,0,104,1642,0,44,18
0,Sun,16,2019,0,0,75,1824,0,46,11
0,Sun,16,2018,1,0,116,1919,0,75,24
0,Sun,17,2022,0,0,42,938,0,36,13
0,Sun,17,2021,1,0,94,1710,0,60,17
0,Sun,17,2020,0,0,93,1544,0,54,21
0,Sun,17,2019,1,0,87,1827,0,41,10
0,Sun,17,2018,2,0,96,1950,0,49,11
0,Sun,18,2022,0,0,62,837,0,29,9
0,Sun,18,2021,0,0,97,1754,0,59,12
0,Sun,18,2020,1,0,100,1411,0,59,13
0,Sun,18,2019,3,0,80,1755,0,57,9
0,Sun,18,2018,1,0,110,1702,0,46,19
0,Sun,19,2022,0,0,44,684,0,29,6
0,Sun,19,2021,6,0,91,1394,0,46,21
0,Sun,19,2020,1,0,91,1219,0,34,17
0,Sun,19,2019,1,0,72,1315,0,50,20
0,Sun,19,2018,1,0,102,1467,0,47,18
0,Sun,20,2022,0,0,57,577,0,24,11
0,Sun,20,2021,0,0,99,1136,0,34,15
0,Sun,20,2020,2,0,83,1043,0,35,10
0,Sun,20,2019,1,0,69,1114,0,49,11
0,Sun,20,2018,1,0,73,1000,0,33,20
0,Sun,21,2022,0,0,37,520,0,36,10
0,Sun,21,2021,1,0,101,1154,0,41,26
0,Sun,21,2020,1,0,77,911,0,43,12
0,Sun,21,2019,0,0,53,1005,0,39,12
0,Sun,21,2018,0,0,61,1024,0,25,11
0,Sun,22,2022,2,0,41,522,0,26,9
0,Sun,22,2021,0,0,63,983,0,29,13
0,Sun,22,2020,1,0,78,722,0,34,18
0,Sun,22,2019,0,0,65,946,0,53,15
0,Sun,22,2018,1,0,68,894,0,14,5
0,Sun,23,2022,0,0,30,401,0,20,6
0,Sun,23,2021,1,0,118,795,0,28,17
0,Sun,23,2020,2,0,55,625,0,8,13
0,Sun,23,2019,1,0,44,646,0,22,12
0,Sun,23,2018,3,0,42,686,0,22,12
1,Mon,0,2022,0,0,24,311,0,17,5
1,Mon,0,2021,1,0,87,587,0,36,13
1,Mon,0,2020,0,0,65,510,0,21,10
1,Mon,0,2019,0,0,38,453,0,14,4
1,Mon,0,2018,1,0,42,500,0,17,6
1,Mon,1,2022,1,0,29,232,0,8,6
1,Mon,1,2021,2,0,39,551,0,37,9
1,Mon,1,2020,1,0,47,376,0,13,9
